epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.60738,1.97937,1.99842,0.70359,5.23127,1.73528,0.92177,0.77778,0.93798,0.75338,0.92177,0.77778,0.93798,0.53977,0.71063,1.78979,0.71462,1.32864,0.90063,0.00032,0.00032,0.00032
2,4.22674,0.86515,1.57334,0.61399,0.78304,0.95944,0.98155,0.88889,0.9735,0.80436,0.98155,0.88889,0.9735,0.64202,0.73927,1.48043,0.65744,0.69108,0.92768,0.000656733,0.000656733,0.000656733
3,6.00034,0.82162,1.2539,0.44958,0.67446,0.9582,0.98708,0.88889,0.8903,0.73127,0.98708,0.88889,0.89467,0.66333,0.81886,1.29946,0.5666,0.91194,0.91026,0.0009901,0.0009901,0.0009901
4,7.63718,0.8173,0.94115,0.37448,0.66583,0.94833,0.94625,1,0.99237,0.79464,0.94625,1,0.99237,0.86661,0.81013,0.80685,0.3822,0.57384,0.92778,0.0013201,0.0013201,0.0013201
5,9.38682,0.87141,0.64013,0.32912,0.69088,0.96937,0.97877,0.83333,0.97634,0.74143,0.97877,0.83333,0.97634,0.82573,0.86743,0.69145,0.19489,0.87065,0.9375,0.00164674,0.00164674,0.00164674
6,11.0316,0.85263,0.5207,0.28973,0.70047,0.98192,0.95488,0.94444,0.99237,0.80295,0.95488,0.94444,0.99237,0.90265,0.71981,0.53688,0.07641,2.61204,0.90056,0.0019505,0.0019505,0.0019505
7,12.6989,0.80037,0.39181,0.25794,0.61996,0.96124,0.99367,1,0.995,0.79851,0.99367,1,0.995,0.94566,0.75763,0.32281,0.04384,1.28164,0.89293,0.0019406,0.0019406,0.0019406
8,14.4361,0.78765,0.33007,0.26684,0.65385,0.95659,0.98499,1,0.995,0.80687,0.98499,1,0.995,0.91021,0.76714,0.27348,0.02528,0.80482,0.92619,0.0019307,0.0019307,0.0019307
9,16.1537,0.79134,0.25502,0.264,0.61054,0.9583,0.99611,1,0.995,0.81749,0.99611,1,0.995,0.90243,0.77277,0.2969,0.02553,0.59279,0.95697,0.0019208,0.0019208,0.0019208
10,17.793,0.70852,0.23636,0.21152,0.56998,0.9285,0.99201,1,0.995,0.8727,0.99201,1,0.995,0.97969,0.64693,0.14178,0.02118,0.58509,0.91019,0.0019109,0.0019109,0.0019109
11,19.4952,0.734,0.23946,0.20438,0.56831,0.94296,0.98964,1,0.995,0.82958,0.98964,1,0.995,0.90892,0.63981,0.26426,0.01439,0.61672,0.89102,0.001901,0.001901,0.001901
12,21.1675,0.72327,0.21809,0.21228,0.5552,0.93847,0.98836,1,0.995,0.84138,0.98836,1,0.995,0.96532,0.61267,0.22151,0.02038,0.60377,0.84994,0.0018911,0.0018911,0.0018911
13,22.8678,0.70919,0.22046,0.22278,0.54987,0.92569,0.99453,1,0.995,0.83677,0.99453,1,0.995,0.995,0.6515,0.14881,0.01847,0.5734,0.87831,0.0018812,0.0018812,0.0018812
14,24.5087,0.69105,0.19391,0.16539,0.52844,0.9268,0.99247,1,0.995,0.83432,0.99247,1,0.995,0.995,0.63844,0.11693,0.01935,0.49135,0.86697,0.0018713,0.0018713,0.0018713
15,26.0853,0.68897,0.17608,0.21734,0.53217,0.9215,0.99408,1,0.995,0.85035,0.99408,1,0.995,0.995,0.60849,0.10669,0.01663,0.49411,0.86218,0.0018614,0.0018614,0.0018614
16,27.7551,0.65711,0.1798,0.16444,0.51233,0.90358,0.99582,1,0.995,0.86666,0.99582,1,0.995,0.98276,0.5719,0.11804,0.01106,0.43249,0.84615,0.0018515,0.0018515,0.0018515
17,29.4182,0.62422,0.14264,0.17802,0.49143,0.90129,0.99581,1,0.995,0.87673,0.99581,1,0.995,0.995,0.52047,0.15465,0.01615,0.44911,0.84669,0.0018416,0.0018416,0.0018416
18,31.1185,0.58504,0.12426,0.16763,0.46797,0.88137,0.99621,1,0.995,0.8881,0.99621,1,0.995,0.995,0.56756,0.07073,0.02095,0.44536,0.84904,0.0018317,0.0018317,0.0018317
19,32.8144,0.5772,0.13773,0.17221,0.47564,0.89121,0.99604,1,0.995,0.88482,0.99604,1,0.995,0.995,0.52573,0.07895,0.0149,0.42745,0.84893,0.0018218,0.0018218,0.0018218
20,34.3942,0.57109,0.11418,0.14912,0.44962,0.89811,0.99678,1,0.995,0.90173,0.99678,1,0.995,0.995,0.46701,0.0971,0.01365,0.42137,0.83977,0.0018119,0.0018119,0.0018119
21,36.0749,0.55925,0.13606,0.16242,0.44715,0.9035,0.99685,1,0.995,0.90268,0.99685,1,0.995,0.995,0.49511,0.08785,0.01571,0.39408,0.8518,0.001802,0.001802,0.001802
22,37.6869,0.55735,0.12546,0.18209,0.4393,0.87757,0.99599,1,0.995,0.89572,0.99599,1,0.995,0.995,0.52812,0.06151,0.01365,0.39089,0.84814,0.0017921,0.0017921,0.0017921
23,39.3007,0.58013,0.11406,0.1974,0.44285,0.89001,0.99634,1,0.995,0.8976,0.99634,1,0.995,0.995,0.52177,0.07031,0.01826,0.39692,0.84156,0.0017822,0.0017822,0.0017822
24,40.977,0.58157,0.13466,0.16531,0.44397,0.90132,0.98856,1,0.995,0.88427,0.98856,1,0.995,0.995,0.57456,0.06343,0.01298,0.40698,0.85799,0.0017723,0.0017723,0.0017723
25,42.6502,0.55299,0.10874,0.13076,0.44468,0.87424,0.99503,1,0.995,0.89589,0.99503,1,0.995,0.995,0.49623,0.06748,0.01217,0.43251,0.82935,0.0017624,0.0017624,0.0017624
26,44.2519,0.5312,0.11149,0.15276,0.42368,0.86151,0.9957,1,0.995,0.90735,0.9957,1,0.995,0.995,0.44259,0.04589,0.01058,0.39587,0.82782,0.0017525,0.0017525,0.0017525
27,45.9331,0.58186,0.10626,0.14244,0.4568,0.89769,0.99694,1,0.995,0.906,0.99694,1,0.995,0.995,0.52675,0.07275,0.01085,0.38803,0.84723,0.0017426,0.0017426,0.0017426
28,47.5685,0.61756,0.12664,0.13582,0.46393,0.90428,0.99682,1,0.995,0.90848,0.99682,1,0.995,0.995,0.54778,0.05063,0.01096,0.37876,0.85289,0.0017327,0.0017327,0.0017327
29,49.2761,0.55366,0.11333,0.14013,0.43606,0.88243,0.9955,1,0.995,0.89792,0.9955,1,0.995,0.995,0.49911,0.07937,0.00977,0.38908,0.86523,0.0017228,0.0017228,0.0017228
30,50.9227,0.54268,0.11475,0.15153,0.41628,0.89052,0.99696,1,0.995,0.90396,0.99696,1,0.995,0.995,0.4623,0.05542,0.01078,0.37248,0.8404,0.0017129,0.0017129,0.0017129
31,52.5623,0.51713,0.13037,0.11916,0.41379,0.87132,0.99659,1,0.995,0.90842,0.99659,1,0.995,0.995,0.46172,0.07788,0.01091,0.35815,0.83635,0.001703,0.001703,0.001703
32,54.1767,0.51966,0.10348,0.11098,0.41229,0.87225,0.99679,1,0.995,0.90756,0.99679,1,0.995,0.995,0.46719,0.04419,0.01343,0.36383,0.83533,0.0016931,0.0016931,0.0016931
33,55.8171,0.53333,0.11512,0.14394,0.41452,0.8784,0.99671,1,0.995,0.90334,0.99671,1,0.995,0.995,0.43025,0.07014,0.01224,0.40154,0.84248,0.0016832,0.0016832,0.0016832
34,57.4313,0.51386,0.11632,0.09943,0.40473,0.86367,0.99678,1,0.995,0.91163,0.99678,1,0.995,0.995,0.4682,0.05946,0.00803,0.40245,0.83847,0.0016733,0.0016733,0.0016733
35,59.09,0.56109,0.09285,0.10465,0.42738,0.88335,0.99689,1,0.995,0.90114,0.99689,1,0.995,0.995,0.5278,0.05694,0.00873,0.38181,0.85735,0.0016634,0.0016634,0.0016634
36,60.7606,0.53989,0.0986,0.10235,0.42869,0.88678,0.99463,1,0.995,0.89935,0.99463,1,0.995,0.995,0.47281,0.0469,0.00927,0.37669,0.84148,0.0016535,0.0016535,0.0016535
37,62.4341,0.53192,0.11304,0.1177,0.41981,0.88161,0.99682,1,0.995,0.89902,0.99682,1,0.995,0.995,0.45181,0.04642,0.00812,0.36106,0.84377,0.0016436,0.0016436,0.0016436
