                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.80762,                 1.8094,                   1.12,                0.96023,                0.91097,                0.96737,                 0.7815,                0.72931,                0.88284,                 1.0544,             0.00041426,             0.00041426,             0.00041426
                      2,                0.77428,                0.87646,                 1.0455,                0.87805,                0.91163,                0.93829,                0.76774,                 0.7038,                0.74288,                 1.0376,              0.0008227,              0.0008227,              0.0008227
                      3,                0.83704,                0.84564,                 1.0774,                0.81274,                0.96079,                0.92026,                0.76556,                0.70148,                0.73111,                 1.0472,              0.0012229,              0.0012229,              0.0012229
                      4,                0.80373,                 0.7447,                 1.0492,                0.91828,                0.92049,                  0.932,                0.77848,                0.70476,                0.56304,                 1.0576,              0.0012129,              0.0012129,              0.0012129
                      5,                0.78941,                0.69526,                 1.0445,                0.95675,                0.94994,                0.97368,                0.84246,                0.61034,                0.46268,                0.97898,              0.0012129,              0.0012129,              0.0012129
                      6,                 0.7498,                0.62518,                 1.0282,                0.96248,                 0.9346,                0.97528,                0.81403,                 0.6955,                 0.4839,                 1.0107,              0.0012005,              0.0012005,              0.0012005
                      7,                0.72882,                0.60749,                 1.0162,                 0.9644,                0.97956,                0.97816,                0.83984,                0.63431,                0.41661,                0.99506,              0.0011881,              0.0011881,              0.0011881
                      8,                0.72164,                0.56809,                 1.0112,                0.92654,                0.92909,                0.97779,                0.83269,                0.62617,                0.52865,                0.98954,              0.0011757,              0.0011757,              0.0011757
                      9,                0.69566,                0.55738,                0.98799,                0.91854,                0.94305,                0.96469,                0.82678,                0.59107,                0.46517,                0.96456,              0.0011634,              0.0011634,              0.0011634
                     10,                0.69963,                0.52111,                0.99763,                0.96538,                0.95444,                0.97825,                0.85046,                0.63357,                0.41808,                0.97238,               0.001151,               0.001151,               0.001151
                     11,                0.67871,                0.51947,                0.98269,                0.94839,                0.96209,                0.97504,                0.83155,                0.62072,                 0.4179,                0.97172,              0.0011386,              0.0011386,              0.0011386
